0 -nan -nan -nan -nan 
0.491 0.134035 0.00271561 0.132641 0.130854 
0.492 0.134533 0.00254267 0.122218 0.120603 
0.493 0.134963 0.00238896 0.112247 0.110801 
0.494 0.135328 0.00225429 0.102734 0.101456 
0.495 0.135626 0.00213847 0.0936847 0.0925716 
0.496 0.13586 0.0020413 0.0851026 0.0841528 
0.497 0.136028 0.00196254 0.076992 0.0762034 
0.498 0.136132 0.00190194 0.0693562 0.0687263 
0.499 0.136172 0.00185922 0.062198 0.0617241 
0.5 0.13615 0.0018341 0.0555195 0.0551989 
0.501 0.136065 0.00182626 0.049322 0.0491519 
0.502 0.135918 0.0018354 0.0436066 0.0435839 
0.503 0.135711 0.00186116 0.0383737 0.0384953 
0.504 0.135445 0.00190319 0.0336231 0.0338857 
0.505 0.135119 0.00196115 0.029354 0.0297544 
0.506 0.134736 0.00203464 0.0255653 0.0261 
0.507 0.134296 0.00212328 0.0222554 0.0229207 
0.508 0.133801 0.00222668 0.0194219 0.0202143 
0.509 0.133251 0.00234442 0.0170622 0.0179781 
0.51 0.132648 0.00247609 0.0151733 0.0162088 
0.511 0.131994 0.00262127 0.0137517 0.0149029 
0.512 0.131288 0.00277954 0.0127933 0.0140563 
0.513 0.130533 0.00295044 0.0122937 0.0136647 
0.514 0.129729 0.00313354 0.0122483 0.0137232 
0.515 0.128879 0.0033284 0.012652 0.0142268 
0.516 0.127983 0.00353457 0.0134991 0.0151697 
0.517 0.127043 0.00375159 0.014784 0.0165463 
0.518 0.12606 0.00397901 0.0165005 0.0183504 
0.519 0.125036 0.00421636 0.018642 0.0205754 
0.52 0.123971 0.0044632 0.0212019 0.0232146 
0.521 0.122868 0.00471906 0.0241731 0.026261 
0.522 0.121728 0.00498349 0.0275484 0.0297072 
0.523 0.120552 0.00525602 0.03132 0.0335457 
0.524 0.119342 0.0055362 0.0354803 0.0377688 
0.525 0.118099 0.00582358 0.0400213 0.0423683 
0.526 0.116825 0.0061177 0.0449347 0.0473362 
0.527 0.115521 0.00641811 0.050212 0.0526639 
0.528 0.114188 0.00672437 0.0558447 0.058343 
0.529 0.112828 0.00703603 0.0618241 0.0643646 
